abandon оставить
abate|уменьшаться
folly|глупость
fond of|любящий
fool|дурак
fool around|придуриваться
footage|запись
footing|опора
footprint|след
for real|правда
for sure|наверняка
for the sake of|ради
forbid |запрещать
forcible|насильственный
forecast|прогноз
forehead|лоб
foreign|иностранный
foreman|мастер
foremost|передовой
foresee|предвидеть
forge|ковать
forge|подделывать
forgive |простить
fork|развилка
former|бывший
former|первый
formidable|внушительный
forth|дальше
forthcoming|предстоящий
fortify|укреплять
fortunate|удачный
fortune|состояние
fortune|счастье
fossil|ископаемое
foster|приемный
foster|способствовать
foul|гадкий
found|основать
foundation|фундамент
fountain|фонтан
foyer|фойе
fraction|доля
fracture|перелом
fragile|хрупкий
fragrant|душистый
frail|хилый
frame|рамка
framework|каркас
frank|откровенный
frantic|неистовый
fraud|обман
fray|драка
frayed|потрепанный
freak|урод
freak out|пугать
free|свободный
free up|высвободить
freeway|автострада
freeze |замораживать
freight|грузовой
frenzy|неистовство
frequent|частый
freshen up|освежить
fret|волновать
friction|трение
friendly|дружелюбный
fright|испуг
frighten off|отпугивать
fringe|край
frog|лягушка
front|перед
frontier|граница
frost|мороз
frown|хмуриться
fruitless|бесплодный
frustrate|расстраивать
fry|жарить
fuck with|дразнить
fuel|топливо
fugitive|беглец
fulfil|исполнить
fumble|щупать
fume|дым
fund|фонд
funeral|похороны
fungus|гриб
funnel|воронка
fur|мех
furnace|печь
furnish|предоставлять
furnish|обставлять
furniture|мебель
further|дальнейший
fury|ярость
fuse|плавиться
fuss|суетиться
futile|тщетный
future|будущий
fuzzy|пушистый
gain|получать
gait|походка
gala|праздник
gamble|азартная игра
gang|банда
gap|разрыв
garbage|мусор
garden|сад
garlic|чеснок
garment|предмет одежды
garnish|гарнир
gas|бензин
gasp|задыхаться
gates|ворота
gather|собирать
gauge|измерить
gaze|пристально глядеть
gear|механизм
geared to|направлен на
gem|драгоценный камень
gender|пол
gene|ген
general|общий
generation|поколение
generous|великодушный
gentle|мягкий
genuine|подлинный
germ|микроб
gesture|жест
get|становиться
get about|передвигаться
get ahead|преуспевать
get ahead of|обогнать
get along|ладить
get at|клонить
get away with|безнаказанно сделать
get back at|отомстить
get by|обойтись
get down|приступить
get in|прибывать
get lost|пропасть
get off|выходить
get off with|отделаться чем-либо
get on|быть
get out of|избежать
get over|пережить
get rid of|избавиться от
get stuck|застрять
get through|дозвониться
get together|собираться
get used to|привыкнуть
ghost|привидение
giant|гигантский
gift|подарок
giggle|хихикать
give a ride|подвезти
give away|раздавать
give away|выдать
give birth to|родить
give off|издавать
give out|раздать
give up|отказаться
give up|бросить
glacier|ледник
glamour|очарование
glance|взгляд
glare|яркий свет
glass|стекло
glasses|очки
glaze|глазурь
gleam|блеск
glide|скользить
glimpse|вид
glint|вспыхнуть
glitter|блеск
globe|мир
gloom|сумрак
glory|слава
gloss|глянец
glove|перчатка
glow|сияние
glue|клей
gnaw on|грызть
go about|заниматься
go against|противоречить
go ahead|взять
go along|поддерживать
go bad|испортиться
go down|быть принятым
go for|быть проданным за
go for|выбирать
go into|вдаваться
go off|сработать
go off|отключиться
go on|происходить
go on|продолжаться
go out|погаснуть
go over|просмотреть
go through|просмотреть
go together|сочетаться
go under|разориться
goal|цель
goat|козел
goddess|богиня
goods|товары
goof|балбес
gorgeous|шикарный
gospel|евангелие
gossip|слухи
govern|управлять
gown|платье
grab|схватить
grace|благодать
grade|оценка
grade|класс
gradual|постепенный
graduate|выпускник
grain|зерно
grand|большой
grant|давать
grape|виноград
graph|график
grapple|сцепиться
grasp|схватывать
grate|решетка
grateful|благодарный
gratify|удовлетворять
gratitude|благодарность
grave|могила
grave|серьезный
gravel|гравий
gravy|подливка
graze|пасти
grease|смазка
greed|жадность
greenhouse|теплица
greet|приветствовать
grid|сетка
grief|горе
grievance|обида
grieve|горевать
grim|мрачный
grin|ухмыляться
grind |молоть
grip|хватать
grit|крошка
grit|твердость
groan|стон
grocery|продуктовый
groom|жених
groove|канавка
grope|щупать
gross|валовой
gross|грубый
grove|лесок
grow |становиться
grow |расти
grow up|вырастать
growl|рычать
grudge|обида
grumble|ворчать
grunt|хрюкать
guard|сторожить
guess|угадывать
guest|гость
guide|вести
guideline|общее правило
guilt|вина
guise|облик
gulf|разрыв
gulf|залив
gulp|большой глоток
gum|жвачка
gun|огнестрельное оружие
gust|порыв
gut|кишка
gutter|желоб
gym|спортзал
Gypsy|цыган
habit|привычка
habitat|среда
hack|рубить
hail|град
hail|окликнуть
hail|приветствовать
haircut|стрижка
hall|зал
hallmark|характерная черта
halt|останавливаться
halve|делить пополам
ham|ветчина
hammer|молоток
hamper|затруднять
hand down|передать
hand in|сдать
hand over|передать
handbook|руководство
handcuffs|наручники
handful|горсть
handicap|помеха
handkerchief|носовой платок
handle|рукоятка
handle|управляться
handsome|красивый
handwriting|почерк
handy|удобный
hang |висеть
hang around|зависать
hang out|тусоваться где-то
hangover|похмелье
happen|случиться
harass|тревожить
harbor |гавань
hardly|едва
hardware|аппаратные средства
hardy|выносливый
harm|вред
harness|запрягать
harp|арфа
harsh|резкий
harvest|урожай
hassle|трудность
haste|спешка
hat|шляпа
hatch|люк
hatred|ненависть
haul|тащить
haunt|являться
hawk|ястреб
hay|сено
hazard|опасность
haze|дымка
head for|направляться
head off|выйти
headlight|передняя фара
headline|заголовок
headquarters|штаб-квартира
heal|лечить
health|здоровье
healthcare|здравоохранение
heap|куча
heat|тепло
heat up|разогреть
heave|вздыматься
heaven|небеса
hebrew|еврейский
hectic|беспокойный
hedge|живая изгородь
heed|прислушиваться
heel|каблук
hefty|большой и тяжелый
height|высота
heir|наследник
helicopter|вертолет
helm|руль
helmet |шлем
help out|выручить
helpful|полезный
helpless|беспомощный
hemisphere|полушарие
hen|курица
hence|отсюда
herald|возвестить
herb|трава
herd|стадо
heritage|наследие
hero|герой
hesitate|колебаться
hide |скрывать
hideous|отвратительный
hierarchy|иерархия
high-end|высококлассный
highlight|выделить
highway|шоссе
hijack|угонять
hike|поход
hilarious|веселый
hill|холм
hinder|мешать
hinge|петля
hint|намек
hip|таз
hire|нанимать
hiss|шипеть
hit |ударить
hit |попасть
hit back|отыграться
hit on|клеить
hitch|заминка
hoard|копить
hobble|прихрамывать
hog|большой свин
hoist|поднимать
hold back|сдерживать
hold on|оставаться на линии
hold on|держаться
hold up|задержать
hole|дыра
holler|крикнуть
hollow|полый
holy|святой
homeland|родина
homicide|убийство
honest|честный
honey|мед
honor |честь
hood|капот
hood|капюшон
hoof|копыто
hook|крюк
hook up|потрахаться
hook up|подключить
hoop|обруч
hop|прыгать
hopeful|внушающий надежды
horizon|горизонт
horn|рог
horrible|ужасный
horrify|ужасать
horseback|верхом
hose|шланг
hospitality|гостеприимство
host|хозяин
host|множество
hostage|заложник
hostile|враждебный
hound|охотничья собака
household|домашний
housewife|домохозяйка
hover|зависнуть
however|однако
howl|выть
huddle|столпиться
hue|цвет
hug|объятие
huge|огромный
hull|корпус
hum|гудеть
human|человек
humble|скромный
humid|влажный
humiliate|унижать
hump|горб
hunch|горб
hunch|догадка
hunger|голод
hunk|ломоть
hurdle|препятствие
hurl|метать
hurricane|ураган
hurry|спешить
hurt |причинять боль
hush|молчать
hustle|толкаться
hustle|нечестно добыть
hut|хижина
hydrogen|водород
hypocrite|лицемер
ID|удостоверение личности
idle|праздный
ignite|воспламеняться
ignorant|невежественный
ill|больной
ill|дурной
illicit|незаконный
illuminate|освещать
image|изображение
imagine|вообразить
immediate|немедленный
immense|огромный
immerse|погружаться
imminent|неизбежный
impact|воздействие
impair|ухудшать
impede|затруднять
impending|предстоящий
imperative|обязательный
implement|осуществлять
implicate|указать на причастность
implicit|подразумеваемый
imply|подразумевать
importance|важность
impose|навязывать
imposing|внушительный
impress|впечатлить
imprint|отпечаток
improve|улучшить
in a row|подряд
in advance|заранее
in charge|во главе
in spite of|несмотря на
incentive|стимул
inch|дюйм
incidence|частотность
incline|наклонять
include|включать
income|доход
incoming|входящий
incorporate|вобрать
increase|увеличивать
incredible|невероятный
incumbent|возложенный
incur|навлечь
indeed|в самом деле
indicate|указывать
indifferent|безразличный
indigenous|коренной
induce|вызывать
indulge|баловать
industry|отрасль
inevitable|неизбежный
inexplicable|необъяснимый
infamous|печально известный
infant|ребенок
infantry|пехота
infect|заражать
infer|делать вывод
inferior|низший
infinite|бесконечный
inflame|разжигать
inflate|надувать
inflict|причинять
influence|влиять
infuse|вливать
ingenious|изобретательный
inhabit|населять
inhale|вдыхать
inherent|свойственный
inherit|унаследовать
inhibit|препятствовать
initial|первоначальный
inject|впрыскивать
injure|ранить
ink|чернила
inland|внутренний
inmate|обитатель
inn|гостиница
inner|внутренний
innocent|невинный
input|вход
inquire|узнавать
insect|насекомое
insert|вставить
inside|внутри
inside out|наизнанку
insight|понимание
insist|настаивать
inspect|проверять
inspire|вдохновить
install|устанавливать
instance|пример
instant|мгновенние
instead|вместо
insulate|изолировать
insult|оскорбление
insure|страховать
insurgent|повстанец
intact|неповрежденный
intake|потребление
integral|составной
integrity|честность
integrity|целостность
intelligence|разведка
intelligent|умный
intelligible|вразумительный
intend|намереваться
intended|предназначенный
interact|взаимодействовать
intercept|перехватить
intercourse|отношения
interfere|вмешиваться
interim|промежуточный
interior|внутренность
intermediate|промежуточный
intern|стажер
internal|внутренний
interpret|истолковывать
interpreter|переводчик
interrogate|допрашивать
interrupt|прерывать
intersect|пересекаться
intervene|вмешиваться
intestine|кишечник
intimate|близкий
intimidate|запугивать
intricate|сложный
intrinsic|присущий
introduce|представить
introduce|ввести
intrude on|вторгаться
invade|вторгаться
invent|изобретать
inventory|опись
invert|переворачивать
investigate|расследовать
invite|приглашать
invoke|взывать
involve|вовлекать
involve|содержать в себе
inward|внутрь
iron|утюг
iron|железо
irritate|раздражать
island|остров
issue|издать
issue|вопрос
itch|зуд
item|пункт
ivory|слоновая кость
ivy|плющ
jab|ударять
jacket|куртка
jail|тюрьма
janitor|дворник
jar|банка
jaw|челюсть
jealous|ревнивый
jelly|желе
jeopardy|опасность
jerk|дергать
jerk|придурок
jet|струя
jet|самолет
Jew|еврей
jewel|драгоценности
jingle|звенеть
jog|бегать трусцой
join|присоединить
joint|сустав
joint|совместный
jolly|веселый
jolt|толчок
journalism|журналистика
journey|путешествие
joy|радость
judge|судья
judicial|судебная
jug|кувшин
jumble|перемешивать
jump at|ухватиться
jump in|вмешаться
jumper|джемпер
junction|стык
junior|младший
junk|барахло
junkie|наркоман
jury|жюри
just|справедливый
justice|правосудие
justify|оправдывать
jut|выступать
keen|острый
keep away|держать
keep off|избегать
keep on|продолжать делать
keep out of|не влезать
keep up|успевать
kernel|ядро
kettle|чайник
kick|пинать
kick around|обсудить
kick back|расслабиться
kid|шутить
kid|ребенок
kidnap|похищать
kidney|почка
kin |родственник
kind|добрый
kind|тип
kindergarten|детский сад
kit|комплект
kite|коршун
kitten|котенок
knack|умение
knee|колено
kneel|стать на колени
knight|рыцарь
knit|вязать
knob|ручка
knock|стучать
knock down|снести
knock out|вырубить
knock together|слепить
knot|узел
knowledge|знания
label|метка
labour|труд
lace|шнурок
lack|недостаток
lad|парень
ladder|лестница
laden|груженный
lag|запаздывание
lamb|ягненок
lame|хромой
lament|оплакивать
land|приземляться
landlord|арендодатель
landmark|ориентир
landscape|пейзаж
lane|полоса дороги
lantern|фонарь
lap|колени
lapse|упущение
lapse|промежуток времени
laptop|ноутбук
large|большой
lash |ресница
lash out|нападать
last|длиться
latch|защелка
late|поздний
late|покойный
lateral|боковой
latter|последний
laugh|смеяться
laughter|смех
launch|начать
laundry|прачечная
lavish|щедрый
law|закон
lawn|газон
lawsuit|тяжба
lay |класть
lay down|установить
lay off|уволить
lay out|выложить
layer|слой
layout|макет
lazy|ленивый
lead|вести
lead up to|предшествовать
leaf |лист
leak|утечка
lean|худой
lean against|опереться
lean over|наклониться над
leap|прыгать
lease|сдавать в аренду
leash|привязь
leather|кожаный
leave |уйти
leave behind|оставить
ledge|уступ
leek|лук-порей
leftover|остаток
leg|нога
legacy|наследие
legal|законный
legislation|законодательство
legitimate|законный
leisure|досуг
lend |давать в долг
length|длина
lens|линза
lessen|уменьшать
lest|чтобы не
let in on|посвящать
let off|отпустить
let smb down|подвести
let smb in|впустить
let up|прекратиться
letter|письмо
lettuce|салат
level|уровень
lever|рычаг
liable|подлежащий
liaison|связь
liberate|освобождать
liberty|свобода
library|библиотека
licence |разрешение
lick|лизать
lid|крышка
lie|лгать
lie |лежать
lifelong|пожизненный
lift|поднимать
light |зажигать
light up|осветить
lightning|молния
like|как
like that|так
likely|вероятно
likewise|также
limb|конечность
limit|ограничивать
limp|хромать
line|строка
line|линия
line up|встать в очередь
lineage|родословная
linen|белье
linen|льняная ткань
lineup|расстановка
linger|задерживаться
link|связь
lip|губа
lipstick|губная помада
liquid|жидкость
list|список
listen in on|подслушивать
literal|буквальный
literary|литературный
literate|грамотность
litter|мусор
live up to|соответствовать
livelihood|средства к существованию
liven up|оживить
liver|печень
livestock|скот
lizard|ящерица
load|грузить
loaf|буханка
loan|заем
loathe|ненавидеть
lobby|вестибюль
lobster|омар
local|местный
locate|определить местоположение
lock|замок
lock up|посадить в тюрьму
locker|ящик
locus|местоположение
lodge|домик
lodge|подавать
loft|чердак
log|бревно
lone|одинокий
long ago|давно
long for|желать
longevity|долговечность
look|выглядеть
look after|присматривать
look around|посмотреть
look at|рассмотреть
look for|искать
look forward|ожидать
look into|посмотреть
look out|смотреть
look smb up|найти
look up|улучшаться
look up to|уважать
loom|маячить
loop|петля
loose|свободный
loot|грабить
lord|господин
loss|потеря
lot|жребий
loud|громкий
lounge|гостиная
lounge|расслабляться
lousy|паршивый
lovely|чудесный
lower|нижний
loyal|верный
lucrative|прибыльный
ludicrous|нелепый
luggage|багаж
lumber|пиломатериалы
lump|кусок
lunar|лунный
luncheon|завтрак
lung|легкое
lurch|крениться
lure|приманка
lurk|таиться
lush|пышный
lust|вожделение
luxury|роскошь
lyrics|текст песни
magazine|журнал
magician|волшебник
magnificent|великолепный
magnify|увеличивать
magnitude|величина
maid|служанка
maiden|дева
mainland|материк
maintain|поддерживать
majesty|величие
major|главный
make fun of|смеяться
make into|переделать в
make of|извлечь
make out|разобрать
make out|целоваться
make sure|убедиться
make up|выдумать
make up|помириться
make up for|компенсировать
makeup|макияж
male|мужской
mall|торговый центр
mammal|млекопитающее
mammoth|мамонт
manage|справляться
mandatory|обязательный
manifest|проявить
mankind|человечество
mansion|особняк
mantle|мантия
manual|руководство
manual|ручной
manufacture|производить
manure|навоз
map out|запланировать
maple|клен
marble|мрамор
margin|край
margin|маржа
marine|морской
marital|супружеский
maritime|морской
mark|метка
mark down|снижать ценник
marry|жениться
marsh|болото
martial|боевой
martyr|мученик
marvel|диво
mash|разминать
massacre|резня
master|хозяин
master|овладеть
masterpiece|шедевр
mat|коврик
match|соответствие
match|спичка
mate|товарищ
maternal|материнский
matter|вещество
matter|дело
matter|иметь значение
mature|зрелый
may|пусть
mayor|мэр
maze|лабиринт
meadow|луг
meager|скудный
meal|еда
mean|неважный
mean |иметь в виду
mean |означать
mean |предназначать
means|средство
meantime|тем временем
meanwhile|тем временем
measure|мера
measure|измерять
mediate|посредничать
medicine|лекарство
medieval|средневековый
mediocre|посредственный
meditate|обдумывать
medium|средство
meet |встретить
melon|дыня
melt|таять
member|член
memoirs|мемуары
memories|воспоминания
memory|память
menace|угроза
mend|чинить
mental|умственный
mention|упоминать
mentor|наставник
merchandise|товар
merchant|торговец
mercury|ртуть
mercy|милость
mere|всего лишь
merge|соединять
merit|заслуга
merry|веселый
mesh|сетка
mess|беспорядок
mess up|испортить
mess with|возиться
metropolitan|столичный
mid|середина
middle|середина
midnight|полночь
midst|середина
midwife|акушерка
might|мощь
mild|мягкий
mileage|пробег
military|военный
mill|мельница
millennium|тысячелетие
mimic|передразнивать
mince|фарш
mind|возражать
mindful|внимательный
mine|мина
mine|шахта
mingle|смешиваться
minor|второстепенный
minor|несовершеннолетний
mint|мята
miracle|чудо
mischief|вред
miserable|несчастный
misery|нищета
misery|несчастье
miss|скучать
miss|пропускать
missile|ракета
missing|пропавший
mist|туман
mistake|ошибка
mistake for|принимать за
mistress|госпожа
mistress|любовница
mitigate|смягчить
mix up|перепутать
mixture|смесь
moan|стонать
mob|толпа
mock|издеваться
mode|режим
moderate|умеренный
modest|скромный
modify|видоизменять
moist|влажный
mold |плесень
mold |форма
mole|крот
mole|родинка
molest|приставать
monastery|монастырь
monetary|валютный
monk|монах
mood|настроение
moose|лось
mop|швабра
moreover|более того
moron|дебил
mortal|смертельный
mortgage|ипотека
mosque|мечеть
mosquito|комар
moss|мох
mostly|в основном
moth|мотылек
motion|движение
motto|девиз
mound|насыпь
mount|монтировать
mount|подниматься
mount|гора
mountain|гора
mourn|скорбеть
move|переезжать
move out|съехать
move over|подвинуться
movie|кино
mow|косить
muck|грязь
mud|грязь
mug|кружка
multiple|множественный
multiply|умножать
multitude|множество
mumble|бормотать
mural|стенная роспись
murder|убийство
murky|мутный
murmur|шум
muscle|мышца
mushroom|гриб
Muslim|мусульманин
mustache |усы
mustard|горчица
muster|собрать
mute|беззвучный
mutter|бормотать
mutual|взаимный
muzzle|морда
mystery|тайна
nail|гвоздь
nail|ноготь
naked|голый
name after|назвать в честь
nanny|няня
nap|вздремнуть
napkin|салфетка
narrate|повествовать
narrow|узкий
nasty|противный
native|родной
native|местный
natural|естественный
naughty|непослушный
nausea|тошнота
navigate|ориентироваться
navy|военно-морской флот
neat|аккуратный
necessary|необходимый
neck|шея
necklace|ожерелье
needle|игла
neglect|пренебрегать
negligent|небрежный
negotiate|вести переговоры
neighbour|сосед
neither|ни один из двух
neither|тоже не
nephew|племянник
nerd|ботан
nerve|смелость
nest|гнездо
net|чистый
network|сеть
never|так и не
nevertheless|тем не менее
newcomer|новичок
newspaper|газета
nibble on|покусывать
niche|ниша
niece|племянница
nightmare|кошмар
nipple|сосок
nitrogen|азот
no matter|неважно
noble|благородный
nod|кивать
noise|шум
nominate|выдвигать
none|никакой
nonetheless|тем не менее
noodles|лапша
noon|полдень
north|север
nose around|рыскать
nostril|ноздря
notch|выемка
note|заметка
notice|заметить
notify|известить
notion|понятие
notorious|известный
notwithstanding|несмотря на
noun|существительное
nourish|питать
novel|роман
novelty|новинка
nuclear|ядерный
nude|обнаженный
nudge|подталкивать
nuisance|неприятность
numb|онемелый
numeric |числовой
numerous|многочисленные
nun|монахиня
nurse|медсестра
nurture|растить
nut|орех
nutrient|питательный
nutrition|питание
nuts|чокнутый
oak|дуб
oath|клятва
oats|овес
obedience|покорность
obese|страдающий ожирением
obey|подчиняться
object|возражать
objective|цель
oblige|обязывать
oblique|косой
obscene|непристойный
obscure|неясный
observe|наблюдать
obsess|овладеть
obsolete|устарелый
obstacle|препятствие
obstruct|препятствовать
obtain|получить
obvious|очевидный
occasion|случай
occupation|профессия
occupy|занимать
occur|случиться
occur to|прийти в голову
odd|необычный
odds|шансы
odor |запах
offence|обида
offence |преступление
offend|обидеть
offer|предлагать
officer|служащий
offset|смещение
offspring|отпрыск
oil|масло
oil|нефть
ominous|зловещий
omit|пропускать
on account of|в связи
on behalf of|от имени
on foot|пешком
on purpose|нарочно
on the contrary|наоборот
once|однажды
ongoing|происходящий
onion|лук
onset|начало
onward |далее
opaque|непрозрачный
opening|отверстие
operate|управлять
opinion|мнение
opportunity|возможность
oppose|противостоять
opposite|противоположный
oppress|угнетать
opt for|выбирать из вариантов
option|выбор
oral|устный
orchard|фруктовый сад
order|порядок
order|заказ
order|приказ
ordinary|обычный
oriental|восточный
origin|происхождение
original|первоначальный
orphan|сирота
ostensibly|по видимости
otherwise|иначе
ought|должен
ounce|унция
out loud|вслух
outcome|результат
outdated|устаревший
outdoor |на улице
outer|внешний
outfit|наряд
outgoing|уходящий
outing|прогулка
outlaw|преступник
outlet|выход
outline|контур
outlook|перспектива
outnumber|превосходить численно
output|выпуск
outrage|произвол
outright|прямой
outset|начало
outskirts|окраина
outstanding|выдающийся
outstanding|неоплаченный
outweigh|перевешивать
oven|печь
over|заново
overall|общий
overcome|преодолеть
overflow|переполняться
overhead|над головой
overhear|подслушать
overlap|перекрываться
overlook|не заметить
overnight|ночной
override|перекрывать
overseas|за рубежом
oversee|контролировать
oversight|надзор
overt|явный
overtake|обгонять
overthrow|свергнуть
overtime|сверхурочная работа
overturn|опрокинуть
overview|обзор
overwhelm|завалить
owe|задолжать
owe|быть обязанным
owl|сова
own|владеть
oxygen|кислород
oyster|устрица
pace|шаг
pack|пачка
pack|упаковывать
pad|подушечка пальца
pad|блокнот
pad|панель
paddle|грести
pagan|язычник
pain|боль
pair|пара
pal|приятель
palace|дворец
pale|бледный
palm|ладонь
pan|сковорода
pancake|блин
pant|пыхтеть
pants|штаны
paper|бумага
paperwork|оформление бумаг
paragraph|абзац
parcel|посылка
pardon|извинять
parlor|приемная
parrot|попугай
parsley|петрушка
part|роль
part|часть
participate|участвовать
particle|частица
particular|частный
partisan|сторонник
partition|раздел
part-time|неполная занятость
pass|пройти
pass away|умереть
pass by|проходить мимо
pass off as|сойти
pass out|вырубиться
pass smth on|отдать
pass up|не воспользоваться шансом
passage|проход
passenger|пассажир
passion|страсть
past|мимо
past|прошлый
pastime|времяпрепровождение
pastry|выпечка
pasture|пастбище
pat|похлопать
patch|заплатка
path|путь
pathetic|жалкий
patient|терпеливый
patio|внутренний дворик
patrol|патруль
patron|покровитель
pattern|шаблон
pause|приостанавливать
pave|вымостить
paw|лапа
pay back|вернуть деньги
pay off|расплатиться
pay out|выплатить
payment|оплата
pea|горошина
peaceful|мирный
peacekeeper|миротворец
peach|персик
peanut|арахис
pear|груша
pearl|жемчуг
peasant|крестьянин
pebble|морской камень
peck|клевать
peculiar|своеобразный
peddle|торговать вразнос
pedestrian|пешеход
pee|писать
peek|вгзлянуть
peel|кожура
peer|ровня
peer|вглядываться
peg|колышек
penalty|наказание
pending|в ожидании
penetrate|проникать
peninsula|полуостров
pepper|перец
perceive|воспринимать
perception|восприятие
perennial|многолетний
perfect|совершенный
perform|выполнить
perhaps|возможно
peril|опасность
period|точка
perish|погибать
perk|привилегия
perk up|воспрянуть
permanent|постоянный
permit|разрешать
perpetual|вечный
perplex|смутить
persecute|преследовать
persist|сохраниться
persist|упорствовать
personnel|персонал
persuade|убеждать
pervasive|расширяющийся
pervert|извращать
pest|паразит
pet|домашний питомец
petal|лепесток
petroleum|нефть
petty|мелкий
phony|фальшивый
physician|врач
pick|подбирать
pick on|дразнить
pick out|выбрать
pick up|прибрать
pick up|подобрать
pickle|мариновать
pie|пирог
piece|предмет
pier|пристань
pierce|проколоть
pigeon|голубь
pile|куча
pile up|сложить
pill|пилюля
pillar|столб
pillow|подушка
pin|булавка
pinch|зажать
pine|сосна
pineapple|ананас
pipe|трубка
pipe|труба
piss|писать
piss about|страдать херней
piss off|бесить
pit|яма
pitch|подавать
pitch|ставить
pity|жалость
pivot|стержень
placement|размещение
placid|тихий
plague|чума
plain|ясный
plain|ровный
plain|простой
plane|самолет
plank|доска
plant|растение
plant|завод
plaque|бляшка
plaster|штукатурка
plate|плита
plausible|правдоподобный
playground|детская площадка
plea|просьба
please|радовать
pleasure|удовольствие
pledge|залог
pledge|обещание
plenty|множество
plight|тяжелое положение
plot|план
plot|сюжет
plow|пахать
pluck|сорвать
plug|штепсель
plug in|включать
plum|слива
plumbing|водопровод
plump|пухлый
plunge|окунуться
plural|множественное число
pocket|карман
point|смысл
point|точка
point|очко
point|острие
point|пункт
point out|указать
poise|равновесие
poison|яд
poke|совать
poke out|высовывать
pole|полюс
pole|шест
policy|политика
polish|шлифовать
polite|вежливый
poll|опрос
pollute|загрязнять
pond|пруд
ponder|обдумывать
pool|бассейн
poor|бедный
pope|папа римский
population|население
porcelain|фарфор
porch|крыльцо
pork|свинина
portable|портативный
porter|носильщик
portray|изображать
possess|обладать
possible|возможный
post|почта
postpone|отложить
posture|поза
pot|горшок
potato|картофель
potent|мощный
pouch|сумочка
poultry|домашняя птица
pound|фунт
pound|долбить
pour|лить
pour in |хлынуть
poverty|бедность
powder|порошок
powerful|мощный
practice|практика
prairie|степь
praise|хвалить
pray|молиться
preach|проповедовать
precarious|ненадежный
precaution|предосторожность
precede|предшествовать
precious|драгоценный
precise|точный
preclude|исключить
predator|хищник
predecessor|предшественник
predict|предсказывать
predominant|преобладающий
prefer|предпочитать
pregnant|беременная
prejudice|предубеждение
preliminary|предварительный
premature|преждевременный
premise|предпосылка
premises|помещение
preoccupy|занимать внимание
prepare|приготовить
prescribe|предписывать
present|настоящее
present|присутствующий
preserve|сохранять
preside|председательствовать
press|нажимать
presume|предполагать
pretend|притворяться
pretext|повод
pretty|довольно-таки
pretty|приятный
prevail|преобладать
prevent|предотвращать
prevent smb from|мешать
previous|предшествующий
prey|добыча
prick|колоть
pride|гордость
priest|жрец
primary|первичный
prime|важный
primitive|первобытный
principal|главный
prior|предварительный
prison|тюрьма
pristine|нетронутый
privacy|частная жизнь
private|частный
probable|вероятный
probe|исследовать
probe|датчик
procedure|процедура
proceed|следовать
process|обработать
proclaim|провозглашать
procure|достать
prod|ткнуть
produce|производить
proficient|опытный
profit|польза
profound|глубокий
prohibit|запрещать
prolong|продлить
prominent|выдающийся
promise|обещать
promote|поощрять
prompt|побуждать
prompt|быстрый
prone|склонный
pronounce|произносить
proof|доказательство
prop|подпирать
propagate|размножать
propel|двигать
proper|правильный
property|собственность
prophet|пророк
proponent|сторонник
propose|предлагать
prosecute|вести
prosecute|преследовать
prospect|перспектива
prosper|процветать
protect|защищать
proud|гордый
prove|доказывать
proverb|пословица
provide|обеспечивать
provided|при условии
provisional|предварительный
proximity|близость
prudent|разумный
pry|любопытствовать
publish|публиковать
puddle|лужа
puff|дуновение
pull back|отступить
pull off|справиться
pull over|притормозить ненадолго
pull through|выжить
pump|насос
pumpkin|тыква
punch|удар
punish|наказывать
pupil|зрачок
puppet|кукла
puppy|щенок
purchase|покупка
pure|чистый
purge|чистка
purple|пурпурный
purpose|цель
purse|кошелек
pursue|преследовать
pursuit|преследование
put aside|отложить
put away|посадить в тюрьму
put in|вложить
put off|отвратить
put off|откладывать
put on|надеть
put on|провести
put out|потушить
put out|обременять
put smb down|подавлять
put smth down to|объяснить
put through|подвергнуть
put together|собирать
put up|устроить
put up with|принимать
puzzle|озадачить
quaint|причудливый
quality|качество
quantity|количество
quarrel|ссора
quarry|карьер
quarter|четверть
queer|странный
query|запрос
quest|поиск
question|подвергать сомнению
questionnaire|анкета
queue|очередь
quiet|тихий
quilt|одеяло
quit |бросить
quite|вполне
quiz|викторина
quote|цитировать
rabbit|кролик
race|раса
race|гонка
rack|стеллаж
radiate|излучать
raft|плот
rag|тряпка
rage|ярость
raid|набег
rail|рельс
railway|железная дорога
rainbow|радуга
raise|растить
raise|поднять
raisin|изюм
rake|грабли
rally|собраться
rally|оживать
ram|баран
ramble|бродить
ramp|скат
random|выбранный наугад
range|диапазон
rank|ранг
ransom|выкуп
rape|насиловать
rapid|быстрый
rare|редкий
rash|опрометчивый
raspberry|малина
rate|курс
rate|показатель
rather|скорее
ratio|соотношение
rationale|основание
rattle|греметь
ravage|разорить
raw|сырой
ray|луч
razor|бритва
reach|достичь
reach out|потянуться
read out|огласить
read up on|изучить вопрос
real estate|недвижимость
realize|понимать
realm|царство
reap|пожинать
rear|задний
reason|разум
reason|причина
rebel|восставать
rebound|отскочить
recall|вспоминать
recede|убывать
receipt|квитанция
receipt|получение
receive|получить
recent|недавний
reception|прием
recess|перерыв
recess|выемка
recipe|рецепт
recipient|получатель
reciprocal|взаимный
recite|декламировать
reckless|опрометчивый
reckon|считать
recognize|узнавать
recollection|воспоминание
reconcile|примириться
record|запись
recount|пересказать
recover|восстановиться
recreation|отдых и развлечения
recruit|набирать
